9 519
17 341 75
95 181 5
14 860 56
43 850 21
53 194 75
22 434 3
12 732 34
8 144 31
51 52 42
79 86 96
44 204 71
100 192 67
39 599 9
58 711 99
88 36 51
87 374 24
93 736 73
89 374 67
79 443 42
42 318 28
29 187 62
92 905 86
32 772 36
63 804 40
100 167 22
99 317 27
86 488 49
13 917 23
85 377 11
16 344 93
68 93 96
24 936 44
100 776 87
68 21 65
16 918 13
91 273 18
66 797 79
73 422 6
65 922 75
94 326 98
89 639 66
49 905 63
88 920 94
11 968 7
78 750 23
63 190 92
79 19 19
32 613 89
12 829 39
35 940 33
99 720 92
17 721 87
61 600 31
52 34 60
67 306 39
92 91 16
65 831 44
3 430 4
81 145 55
19 857 4
61 732 11
81 654 72
2 373 6
82 442 92
28 713 93
70 307 54
50 246 95
19 970 23
43 258 68
92 147 96
64 69 36
82 169 65
60 682 30
73 879 61
44 6 47
96 57 11
13 988 65
96 469 29
58 439 48
47 499 63
37 826 4
31 517 59
16 976 69
14 164 79
34 895 49
6 298 24
66 635 49
41 759 23
17 208 88
74 795 91
94 460 36
36 938 90
61 218 66
51 174 1
47 27 46
4 919 63
45 550 6
51 92 65
19 299 42
17 759 80
81 590 83
90 26 96
75 421 37
69 453 36
18 605 45
82 319 24
33 679 13
57 856 59
29 535 80
63 181 57
35 360 42
60 739 50
66 678 71
4 218 58
78 510 18
43 843 37
35 74 79
2 683 52
15 323 3
62 589 11
87 36 32
69 48 32
32 599 55
96 131 78
80 947 87
37 482 41
76 896 74
52 5 83
61 50 27
2 78 88
65 30 97
85 919 94
79 517 4
27 502 18
82 230 20
83 872 26
73 56 43
18 562 73
95 606 20
10 733 40
66 769 89
65 124 83
52 46 85
15 522 82
8 937 40
82 612 30
83 660 91
83 966 54
100 368 91
98 560 58
35 218 40
1 987 7
4 396 63
100 491 54
93 589 67
80 450 75
59 500 3
73 194 81
70 676 77
3 578 43
41 477 72
28 909 63
67 879 15
19 580 3
40 519 17
28 263 58
68 807 6
80 307 88
49 807 64
3 293 4
36 847 64
17 594 44
100 29 30
39 923 85
75 825 86
14 398 14
79 517 67
50 727 64
74 682 19
31 96 32
39 498 70
10 517 62
73 797 54
96 974 10
78 541 39
72 230 82
17 970 58
59 330 6
45 477 32
47 861 62
91 226 54
62 194 33
91 351 53
92 874 74
37 769 46
82 225 65
5 981 14
43 517 88
93 474 100
48 474 5
81 664 65
54 81 99
26 992 70
3 393 48
9 68 51
90 560 6
20 494 81
67 885 40
86 969 45
28 825 14
87 203 8
46 409 84
67 368 6
56 516 87
9 987 9
55 186 14
74 217 67
92 380 96
78 861 37
25 27 66
69 971 33
44 856 3
52 648 27
88 491 46
73 957 62
37 613 91
2 903 2
41 705 39
65 469 19
13 153 89
41 254 9
28 404 91
90 139 98
17 300 45
34 24 33
14 537 91
39 740 89
29 875 52
7 577 39
47 385 29
75 756 8
38 787 71
30 726 74
60 976 11
93 964 44
74 613 13
84 555 90
51 421 71
10 468 26
56 360 60
56 9 70
49 297 22
56 692 61
57 521 74
16 654 83
88 416 18
53 436 92
63 833 24
65 596 58
13 867 86
86 101 42
58 104 37
72 489 46
23 607 90
73 846 70
6 877 10
49 661 76
26 942 17
51 735 79
26 11 64
100 499 91
3 423 94
4 590 85
87 113 13
35 486 54
70 202 45
31 369 8
20 639 55
65 428 38
27 56 49
91 624 23
64 229 48
54 262 92
3 519 73
81 471 75
13 586 69
29 640 16
31 665 27
90 523 63
7 430 82
70 798 8
46 26 13
17 350 54
53 12 17
6 578 74
87 283 74
78 107 4
42 465 26
76 676 91
96 571 71
52 863 83
49 701 24
84 135 9
2 990 44
